"uid","namedLocation","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","subtypeSpecification","transectMeter","directionFromTransect","ninetyDegreeDistance","sampleLatitude","sampleLongitude","sampleGeodeticDatum","sampleCoordinateUncertainty","sampleElevation","sampleElevationUncertainty","date","editedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","vstTag","samplingProtocolVersion","measuredBy","identifiedBy","recordedBy","remarks","dataQF"
"074371e9-d80f-4d38-9738-1289488df295","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",486,"Left",8.3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06001","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"9a8d5079-f907-4db2-b439-010a363c610a","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",314,"Left",6.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06010","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"dced1f63-8be5-4ef0-a0ca-e42c15312575","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",2.7,"Right",4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06006","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tag A",NA
"7e876506-549a-4fe3-ad0a-b59a16f1da68","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",300,"Left",1.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06009","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"252bc9b2-d54c-4a90-8c74-2b256a279bdc","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",597,"Right",3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06004","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"9b44d1d1-7185-4019-b2b0-12bc7b12c7f4","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",486,"Left",8.3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06001","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"e4d406b6-984c-4f3b-a2a5-dc4fd1f35a69","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",314,"Left",6.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06010","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"ead5124d-2e21-4e05-b252-077ff6d43d87","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",2.7,"Right",4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06006","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tag A",NA
"f78300ab-8686-4655-8192-c51211446620","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",714,"Right",5.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06005","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"3fa41c9b-8ebb-4fb1-90b6-0a70e791dfd0","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",503,"Right",3.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06003","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"bf222f32-ddb6-41e4-9dfc-4bde0abb50f9","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",714,"Right",5.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06005","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"32c3d3f1-f151-4f28-83cd-71c0814b3d4c","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",503,"Right",3.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06003","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"7df820ce-c146-401c-8fa6-4a75ab8d1016","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",490,"Left",8.8,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06002","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tags A-C",NA
"554a1b99-f469-4f62-a214-c90af4e585e0","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",202,"Right",1.1,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06008","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"a8d45b9a-a203-4c4f-a932-08c277778c06","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",490,"Left",8.8,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06002","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tags A-C",NA
"705ff56f-3047-4084-af5d-0ebb179ebb8c","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",181,"Right",1.8,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06007","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"25451a6b-c224-4f95-8b5a-a0d9fda9d912","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",181,"Right",1.8,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06007","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"d59170a6-1c97-4d68-a52c-e998ba4e7838","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",202,"Right",1.1,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06008","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"1269749f-209a-40dc-91d3-d269f22ae627","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",597,"Right",3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06004","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"43a2f1af-8cfc-4e69-ba41-8f4f91fe18c4","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",300,"Left",1.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06009","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"95b72d25-da28-49a1-b3fd-f0de742101ff","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",504.3,"Left",1.7,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06110","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"da6f928d-cc25-4dc2-a483-5bc66f9fe5bb","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",473.6,"Left",2.3,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06106","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"7fc9f880-3634-4a1f-976e-966532799218","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",500,"Left",3.1,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06109","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"21ee7c5a-8894-4026-b113-09d49fa81505","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",392,"Left",0.5,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06100","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"522cbf06-ecfb-4f99-8d13-185a64e0db72","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",428,"Right",4.7,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06101","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"36ee7124-aa31-4b4b-a1b1-20881d0b990c","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",510,"Left",5.8,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06112","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"3e9fa9f5-54dc-4a6f-945c-0c674931ed01","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",470.1,"Right",1.5,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06105","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"9e48ca53-0748-41f6-8d4e-9e6ced25cc8b","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",520,"Left",5,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06113","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"756afbbc-e0a8-438f-a1ee-63d72aca8e26","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",449.3,"Left",0.5,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06103","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"8645b4c4-5df0-421c-acab-f1a9bcc9afde","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",470.1,"Left",3.3,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06104","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"8350a5ec-5078-43b2-babe-677dd82e116a","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",524.1,"Right",2.2,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06114","BUSI","Bursera simaruba (L.) Sarg.",NA,"species","Drought deciduous broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"230582d0-d988-4e74-a02d-6198ad4f3ef8","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",493.3,"Right",0.8,NA,NA,"WGS84",NA,NA,NA,"2017-08-09","2017-08-09","NEON.PLA.D04.GUAN.06108","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"NEON.DOC.014040vD","7GSC2Ocp9nUdeLo1J+kj65CB+MYRHS9+bXf7zPsUlkw=","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
